,Bear,Cat,Jaguar,Rabbit,Lizard,Pig,Mama,Salamander,Gnu
crime,You should ask mom first{a}All I know is I woke up to Rachel screaming.+I rushed upstairs to find that horrible site.+I called Ms. Jaguar immedietly to see him.+She examined the body/c so she might be more useful.,I think you should ask Madam Bear first{a}I wrote it all down in my journal+Let's see…+6:00 PM The first guests arrives/c Mr. Lizard and his wife Mrs. Salamander.+ Mr. Pig arrives late/c as always/c at around 7:30 PM.+Master Beric left the dinner table to his room at 10:30 PM after a fight errupted between him and Mr. Lizard.+Most of the guests left after the argument/c however/c Mr. Lizard and Mrs. Salamander opted to stay since they were tired.+Mr. Pig was drunk/c of course/c and decided to stay too.+The guests stayed up with Madam Bear and her son until around 12:00 AM when all went to sleep.+ Madam Bear could not sleep and came down to the kitchen to talk to me at around 1:00 AM.+Ms. Rabbit and I were done cleaning the dishes at around 2:00 AM/c at which point We both went to sleep in our dorms. Located outside this house/c in the other building.+We woke up at 6:00 AM to start working around the house.+We found Madam Bear sleeping in the living room.+When Ms. Rabbit went to check on Master Bear/c she...+I swear it was the most horrifying scream I heard in my life.+and Master Bear he was...+...dead/c stabbed.+That's all I have/c maybe Ms. Rabbit would know more.[o],You should start by asking Mrs. Bear{a}I examined the *licks lips* body.+I suggest you take a look before we discuss it.{b}I think you saw what I saw.+Not much blood.+This tells me that the *licks lips* stabbing happened AFTER death.+Yes/c the cause of death is for once NOT the big knife stuck to the victim's body.+It's hard to determine exactly when death occured/c but I'd say between 12:00 AM and 3:00 AM.+As for cause of death/c my money is on some fast acting poison.+That's all I have for now.+Feel free to look around.,Madam Bear should know more+Come back after you've talked to her.{a}Madam Bear was upset about something.+ I saw her arguing with Master Bear yesterday before dinner.+Then Master Bear had another argument with Mr. Lizard during dinner.+He was very upset he went to his room.+In the morning Madam Bear was sleeping in the living room.+Then I found him.+I still can't get the Image out of my head.[o],You should begin by asking the Mrs. Bear.{a}I am not sure exactly what happened/c all I know is the maid seems to have found the body and woke me up with her scream.,Speak with the lasy of the house .{a}*Oink* I was kinda out of it yesterday so I will not be much help.+They told me the maid was screaming in the morning or something but I didn't hear it *oink*.,We were celebrating the opening of a new branch of Bear and Co Inc.+Lawrence Lizard is going to be the head of that branch.+There was a fight/c Lawrence said something that angered Beric so Beric flipped out and went to his room.+Some of the guests/c Mr. Lizard/c Mrs. Salamander/c and Mr. Pig/c were tired or drunk so they stayed over in the guest room.+In the morning we heard Ms. Rabbit screaming and...+... and he was dead.[a],Mrs. Bear would know more.{a}I am sorry I can't help much.+I only heard the scream.,Mrs. Bear would know more.{a}I wasn't here yesterday but I heard Rachel scream and came in as fast as I could.+I went in after Mr. Cat and saw the body.+Horrifying stuff.
yesterday,You should ask mom first{a}All I know is I woke up to Rachel screaming.+I rushed upstairs to find that horrible site.+I called Ms. Jaguar immedietly to see him.+She examined the body/c so she might be more useful.,I think you should ask Madam Bear first{a}I wrote it all down in my journal+Let's see…+6:00 PM The first guests arrives/c Mr. Lizard and his wife Mrs. Salamander.+ Mr. Pig arrives late/c as always/c at around 7:30 PM.+Master Beric left the dinner table to his room at 10:30 PM after a fight errupted between him and Mr. Lizard.+Most of the guests left after the argument/c however/c Mr. Lizard and Mrs. Salamander opted to stay since they were tired.+Mr. Pig was drunk/c of course/c and decided to stay too.+The guests stayed up with Madam Bear and her son until around 12:00 AM when all went to sleep.+ Madam Bear could not sleep and came down to the kitchen to talk to me at around 1:00 AM.+Ms. Rabbit and I were done cleaning the dishes at around 2:00 AM/c at which point We both went to sleep in our dorms. Located outside this house/c in the other building.+We woke up at 6:00 AM to start working around the house.+We found Madam Bear sleeping in the living room.+When Ms. Rabbit went to check on Master Bear/c she...+I swear it was the most horrifying scream I heard in my life.+and Master Bear he was...+...dead/c stabbed.+That's all I have/c maybe Ms. Rabbit would know more.[o],You should start by asking Mrs. Bear{a}I examined the *licks lips* body.+I suggest you take a look before we discuss it.{b}I think you saw what I saw.+Not much blood.+This tells me that the *licks lips* stabbing happened AFTER death.+Yes/c the cause of death is for once NOT the big knife stuck to the victim's body.+It's hard to determine exactly when death occured/c but I'd say between 12:00 AM and 3:00 AM.+As for cause of death/c my money is on some fast acting poison.+That's all I have for now.+Feel free to look around.,Madam Bear should know more+Come back after you've talked to her.{a}Madam Bear was upset about something.+ I saw her arguing with Master Bear yesterday before dinner.+Then Master Bear had another argument with Mr. Lizard during dinner.+He was very upset he went to his room.+In the morning Madam Bear was sleeping in the living room.+Then I found him.+I still can't get the Image out of my head.[o],You should begin by asking the Mrs. Bear.{a}I am not sure exactly what happened/c all I know is the maid seems to have found the body and woke me up with her scream.,Speak with the lasy of the house .{a}*Oink* I was kinda out of it yesterday so I will not be much help.+They told me the maid was screaming in the morning or something but I didn't hear it *oink*.,We were celebrating the opening of a new branch of Bear and Co Inc.+Lawrence Lizard is going to be the head of that branch.+There was a fight/c Lawrence said something that angered Beric so Beric flipped out and went to his room.+Some of the guests/c Mr. Lizard/c Mrs. Salamander/c and Mr. Pig/c were tired or drunk so they stayed over in the guest room.+In the morning we heard Ms. Rabbit screaming and...+... and he was dead.[a],Mrs. Bear would know more.{a}I am sorry I can't help much.+I only heard the scream.,Mrs. Bear would know more.{a}I wasn't here yesterday but I heard Rachel scream and came in as fast as I could.+I went in after Mr. Cat and saw the body.+Horrifying stuff.
what happened,You should ask mom first{a}All I know is I woke up to Rachel screaming.+I rushed upstairs to find that horrible site.+I called Ms. Jaguar immedietly to see him.+She examined the body/c so she might be more useful.,I think you should ask Madam Bear first{a}I wrote it all down in my journal+Let's see…+6:00 PM The first guests arrives/c Mr. Lizard and his wife Mrs. Salamander.+ Mr. Pig arrives late/c as always/c at around 7:30 PM.+Master Beric left the dinner table to his room at 10:30 PM after a fight errupted between him and Mr. Lizard.+Most of the guests left after the argument/c however/c Mr. Lizard and Mrs. Salamander opted to stay since they were tired.+Mr. Pig was drunk/c of course/c and decided to stay too.+The guests stayed up with Madam Bear and her son until around 12:00 AM when all went to sleep.+ Madam Bear could not sleep and came down to the kitchen to talk to me at around 1:00 AM.+Ms. Rabbit and I were done cleaning the dishes at around 2:00 AM/c at which point We both went to sleep in our dorms. Located outside this house/c in the other building.+We woke up at 6:00 AM to start working around the house.+We found Madam Bear sleeping in the living room.+When Ms. Rabbit went to check on Master Bear/c she...+I swear it was the most horrifying scream I heard in my life.+and Master Bear he was...+...dead/c stabbed.+That's all I have/c maybe Ms. Rabbit would know more.[o],You should start by asking Mrs. Bear{a}I examined the *licks lips* body.+I suggest you take a look before we discuss it.{b}I think you saw what I saw.+Not much blood.+This tells me that the *licks lips* stabbing happened AFTER death.+Yes/c the cause of death is for once NOT the big knife stuck to the victim's body.+It's hard to determine exactly when death occured/c but I'd say between 12:00 AM and 3:00 AM.+As for cause of death/c my money is on some fast acting poison.+That's all I have for now.+Feel free to look around.,Madam Bear should know more+Come back after you've talked to her.{a}Madam Bear was upset about something.+ I saw her arguing with Master Bear yesterday before dinner.+Then Master Bear had another argument with Mr. Lizard during dinner.+He was very upset he went to his room.+In the morning Madam Bear was sleeping in the living room.+Then I found him.+I still can't get the Image out of my head.[o],You should begin by asking the Mrs. Bear.{a}I am not sure exactly what happened/c all I know is the maid seems to have found the body and woke me up with her scream.,Speak with the lasy of the house .{a}*Oink* I was kinda out of it yesterday so I will not be much help.+They told me the maid was screaming in the morning or something but I didn't hear it *oink*.,We were celebrating the opening of a new branch of Bear and Co Inc.+Lawrence Lizard is going to be the head of that branch.+There was a fight/c Lawrence said something that angered Beric so Beric flipped out and went to his room.+Some of the guests/c Mr. Lizard/c Mrs. Salamander/c and Mr. Pig/c were tired or drunk so they stayed over in the guest room.+In the morning we heard Ms. Rabbit screaming and...+... and he was dead.[a],Mrs. Bear would know more.{a}I am sorry I can't help much.+I only heard the scream.,Mrs. Bear would know more.{a}I wasn't here yesterday but I heard Rachel scream and came in as fast as I could.+I went in after Mr. Cat and saw the body.+Horrifying stuff.
problem,You should ask mom first{a}All I know is I woke up to Rachel screaming.+I rushed upstairs to find that horrible site.+I called Ms. Jaguar immedietly to see him.+She examined the body/c so she might be more useful.,I think you should ask Madam Bear first{a}I wrote it all down in my journal+Let's see…+6:00 PM The first guests arrives/c Mr. Lizard and his wife Mrs. Salamander.+ Mr. Pig arrives late/c as always/c at around 7:30 PM.+Master Beric left the dinner table to his room at 10:30 PM after a fight errupted between him and Mr. Lizard.+Most of the guests left after the argument/c however/c Mr. Lizard and Mrs. Salamander opted to stay since they were tired.+Mr. Pig was drunk/c of course/c and decided to stay too.+The guests stayed up with Madam Bear and her son until around 12:00 AM when all went to sleep.+ Madam Bear could not sleep and came down to the kitchen to talk to me at around 1:00 AM.+Ms. Rabbit and I were done cleaning the dishes at around 2:00 AM/c at which point We both went to sleep in our dorms. Located outside this house/c in the other building.+We woke up at 6:00 AM to start working around the house.+We found Madam Bear sleeping in the living room.+When Ms. Rabbit went to check on Master Bear/c she...+I swear it was the most horrifying scream I heard in my life.+and Master Bear he was...+...dead/c stabbed.+That's all I have/c maybe Ms. Rabbit would know more.[o],You should start by asking Mrs. Bear{a}I examined the *licks lips* body.+I suggest you take a look before we discuss it.{b}I think you saw what I saw.+Not much blood.+This tells me that the *licks lips* stabbing happened AFTER death.+Yes/c the cause of death is for once NOT the big knife stuck to the victim's body.+It's hard to determine exactly when death occured/c but I'd say between 12:00 AM and 3:00 AM.+As for cause of death/c my money is on some fast acting poison.+That's all I have for now.+Feel free to look around.,Madam Bear should know more+Come back after you've talked to her.{a}Madam Bear was upset about something.+ I saw her arguing with Master Bear yesterday before dinner.+Then Master Bear had another argument with Mr. Lizard during dinner.+He was very upset he went to his room.+In the morning Madam Bear was sleeping in the living room.+Then I found him.+I still can't get the Image out of my head.[o],You should begin by asking the Mrs. Bear.{a}I am not sure exactly what happened/c all I know is the maid seems to have found the body and woke me up with her scream.,Speak with the lasy of the house .{a}*Oink* I was kinda out of it yesterday so I will not be much help.+They told me the maid was screaming in the morning or something but I didn't hear it *oink*.,We were celebrating the opening of a new branch of Bear and Co Inc.+Lawrence Lizard is going to be the head of that branch.+There was a fight/c Lawrence said something that angered Beric so Beric flipped out and went to his room.+Some of the guests/c Mr. Lizard/c Mrs. Salamander/c and Mr. Pig/c were tired or drunk so they stayed over in the guest room.+In the morning we heard Ms. Rabbit screaming and...+... and he was dead.[a],Mrs. Bear would know more.{a}I am sorry I can't help much.+I only heard the scream.,Mrs. Bear would know more.{a}I wasn't here yesterday but I heard Rachel scream and came in as fast as I could.+I went in after Mr. Cat and saw the body.+Horrifying stuff.
crime scene,That would be the bedroom.+It's the door to your left when you enter the house.,I believe that would be the bedroom.+It's the door to your left when you enter the house.,Ummm…+You're here.,The bedroom where I found Master Bear.+It's the door to your left when you enter the house.,It's the door to the left.,I'm not *oink* sure.,That door to my left.+It's the bedroom.,It's the door to the left.,The body is in the bedroom.
name,Brandon Bear/c at your service.,Caleb Cat/c the family butler.,Dr. Julia Jaguar/c Mr. Bear Senior's personal physician.,Rachel/c Rachel Rabbit.+I'm the maid.,Lawrence Lizard/c entrepreneur and Berics bus…+former business partner.,I am Paul *oink* Pig.+I work in IT at Mr. Bear's company.+Well/c I guess it's Mr. Lizard's now *oink*.,Berna Bear/c Beric's…widow.,I am Sara Salamander.+ I am Lawrence's wife and business partner.,Gustavo Gnu+Gardner.
scales,?,?,?,?,I'm not sure what you're talking about{s}Oh…+You found them in the room haven't you?+Okay I'll admit it I went to the room at night+but I did not kill him.+I was looking for some documents.+Look/c I owe Beric a hefty sum.+That was what we were arguing about yesterday.+I wanted to find his debt ledger to change it.+Then I heard someone come in so I hid under the table.+I heard a thud. Then running.+I think that was when Beric was killed it's just..+I didn't think that was what happened at the time.+I didn't hear Beric at all so I thought that someone was/c I don't know/c cleaning or something+I swear that was what happened.+You gotta believe me.[c],?,?,I'm not sure what you're talking about{s}These looks like my husband's.+He's been shedding lately.,?
birthday,Seventh of June,I was born on the forth of September,I was born on the second of January,I was born on the third of October,I was born on the fifteenth of April.,I was born on the twenty fifth of January,I was born on the forth of December,I was born on the ninth of November,Umm…I was born on the fifth of November.[i]{i}I was born on the fifth of November.
medicine,?,Master Bear was very adement about taking his medicine on time.+He kept a full ledger detailing everything.+Not sure where it is though.,Bear was very schedule oriented.+He always took his medicine on time/c never missed a pill.+{m}Bear was very schedule oriented.+He always took his medicine on time/c never missed a pill.+The medicine you found was for his Hypertension.,?,?,?,My husband was a hypochondriac.+He was always going about how this and that will kill him.+Well. Apparently something did eventually.,?,?
meds,?,Master Bear was very adement about taking his medicine on time.+He kept a full ledger detailing everything.+Not sure where it is though.,Bear was very schedule oriented.+He always took his medicine on time/c never missed a pill.+{m}Bear was very schedule oriented.+He always took his medicine on time/c never missed a pill.+The medicine you found was for his Hypertension.,?,?,?,My husband was a hypochondriac.+He was always going about how this and that will kill him.+Well. Apparently something did eventually.,?,?
